日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,换手率,涨跌幅,流通股数,流通市值,数据日期
2015-05-13,sh.603599,广信股份,3.9717351,4.766904,4.766904,3.9717351,38000,877730.0,0.080748,44.00993,47059989.0,224330449.80405602,2026-07-14
2015-05-14,sh.603599,广信股份,5.2435944,5.2435944,5.2435944,5.2435944,13500,344520.0,0.028687,10.0,47059644.0,246761685.74439362,2026-07-14
2015-05-15,sh.603599,广信股份,5.7675429,5.7675429,5.7675429,5.7675429,17100,479997.0,0.036337,9.9922,47059471.0,271417517.8438059,2026-07-14
2015-05-18,sh.603599,广信股份,6.3449136,6.3449136,6.3449136,6.3449136,14500,447760.0,0.030812,10.0107,47059587.0,298589013.5666832,2026-07-14
2015-05-19,sh.603599,广信股份,6.9798159,6.9798159,6.9798159,6.9798159,23700,805089.0,0.050361,10.0065,47060225.0,328471706.7125775,2026-07-14
2015-05-20,sh.603599,广信股份,7.6784139,7.6784139,7.6784139,7.6784139,57400,2145038.0,0.121972,10.0088,47059981.0,361346012.2441359,2026-07-14
2015-05-21,sh.603599,广信股份,8.4468717,8.4468717,8.4468717,8.4468717,52400,2154164.0,0.111347,10.008,47060091.0,397510550.86732477,2026-07-14
2015-05-22,sh.603599,广信股份,9.2913534,9.2913534,9.2913534,9.2913534,41200,1863064.0,0.087548,9.9976,47059899.0,437250152.5773066,2026-07-14
2015-05-25,sh.603599,广信股份,10.2200778,10.2200778,10.2200778,10.2200778,51600,2566584.0,0.109647,9.9956,47060111.0,480957995.69663584,2026-07-14
2015-05-26,sh.603599,广信股份,11.2412637,11.2412637,11.2412637,11.2412637,38300,2095393.0,0.081385,9.992,47060269.0,529016893.62193525,2026-07-14
2015-05-27,sh.603599,广信股份,12.3651846,12.3651846,12.3651846,12.3651846,48687,2929984.0,0.103457,9.9982,47060131.0,581907207.1151825,2026-07-14
2015-05-28,sh.603599,广信股份,13.602114,13.602114,13.602114,13.602114,265690,17588678.0,0.564577,10.0033,47060011.0,640115634.463254,2026-07-14
2015-05-29,sh.603599,广信股份,14.9623254,14.9623254,14.9623254,14.9623254,1164300,84784326.0,2.474076,10.0,47059993.0,704126928.5877222,2026-07-14
2015-06-01,sh.603599,广信股份,16.458147,16.458147,16.458147,16.458147,129300,10356930.0,0.274756,9.9973,47059937.0,774519360.9567391,2026-07-14
2015-06-02,sh.603599,广信股份,18.1039617,18.1039617,18.1039617,18.1039617,197500,17401725.0,0.419677,10.0,47060001.0,851972455.7059617,2026-07-14
2015-06-03,sh.603599,广信股份,19.9141524,19.9141524,19.9141524,18.28683,15365930,1483050080.0,32.651785,9.9989,47060000.0,937160011.944,2026-07-14
2015-06-04,sh.603599,广信股份,20.300436,17.9231481,20.3394753,17.9231481,11330460,1042185168.0,24.076626,-9.9979,47059999.0,843463331.6628518,2026-07-14
