日期,指数代码,指数名称,成分券代码,成分券名称,交易所
2026-07-13,000852,中证1000,000012,南  玻A,深圳证券交易所
2026-07-13,000852,中证1000,000028,国药一致,深圳证券交易所
2026-07-13,000852,中证1000,000029,深深房A,深圳证券交易所
2026-07-13,000852,中证1000,000030,富奥股份,深圳证券交易所
2026-07-13,000852,中证1000,000035,中国天楹,深圳证券交易所
2026-07-13,000852,中证1000,000048,京基智农,深圳证券交易所
2026-07-13,000852,中证1000,000049,德赛电池,深圳证券交易所
2026-07-13,000852,中证1000,000058,深赛格,深圳证券交易所
2026-07-13,000852,中证1000,000059,华锦股份,深圳证券交易所
2026-07-13,000852,中证1000,000061,农 产 品,深圳证券交易所
2026-07-13,000852,中证1000,000065,北方国际,深圳证券交易所
2026-07-13,000852,中证1000,000089,深圳机场,深圳证券交易所
2026-07-13,000852,中证1000,000099,中信海直,深圳证券交易所
2026-07-13,000852,中证1000,000156,华数传媒,深圳证券交易所
2026-07-13,000852,中证1000,000403,派林生物,深圳证券交易所
2026-07-13,000852,中证1000,000420,吉林化纤,深圳证券交易所
2026-07-13,000852,中证1000,000422,湖北宜化,深圳证券交易所
2026-07-13,000852,中证1000,000498,山东路桥,深圳证券交易所
2026-07-13,000852,中证1000,000503,国新健康,深圳证券交易所
2026-07-13,000852,中证1000,000506,招金黄金,深圳证券交易所
2026-07-13,000852,中证1000,000534,万泽股份,深圳证券交易所
2026-07-13,000852,中证1000,000543,皖能电力,深圳证券交易所
2026-07-13,000852,中证1000,000550,江铃汽车,深圳证券交易所
2026-07-13,000852,中证1000,000552,甘肃能化,深圳证券交易所
2026-07-13,000852,中证1000,000555,神州信息,深圳证券交易所
2026-07-13,000852,中证1000,000563,陕国投A,深圳证券交易所
2026-07-13,000852,中证1000,000567,海德股份,深圳证券交易所
2026-07-13,000852,中证1000,000581,威孚高科,深圳证券交易所
2026-07-13,000852,中证1000,000600,建投能源,深圳证券交易所
2026-07-13,000852,中证1000,000603,盛达资源,深圳证券交易所
2026-07-13,000852,中证1000,000612,焦作万方,深圳证券交易所
2026-07-13,000852,中证1000,000620,盈新发展,深圳证券交易所
2026-07-13,000852,中证1000,000628,高新发展,深圳证券交易所
2026-07-13,000852,中证1000,000636,风华高科,深圳证券交易所
2026-07-13,000852,中证1000,000650,仁和药业,深圳证券交易所
2026-07-13,000852,中证1000,000672,上峰材料,深圳证券交易所
2026-07-13,000852,中证1000,000676,智度股份,深圳证券交易所
2026-07-13,000852,中证1000,000680,山推股份,深圳证券交易所
2026-07-13,000852,中证1000,000681,视觉中国,深圳证券交易所
2026-07-13,000852,中证1000,000682,东方电子,深圳证券交易所
2026-07-13,000852,中证1000,000685,中山公用,深圳证券交易所
2026-07-13,000852,中证1000,000686,东北证券,深圳证券交易所
2026-07-13,000852,中证1000,000688,国城矿业,深圳证券交易所
2026-07-13,000852,中证1000,000690,宝新能源,深圳证券交易所
2026-07-13,000852,中证1000,000712,锦龙股份,深圳证券交易所
2026-07-13,000852,中证1000,000719,中原传媒,深圳证券交易所
2026-07-13,000852,中证1000,000727,冠捷科技,深圳证券交易所
2026-07-13,000852,中证1000,000758,中色股份,深圳证券交易所
2026-07-13,000852,中证1000,000762,西藏矿业,深圳证券交易所
2026-07-13,000852,中证1000,000766,通化金马,深圳证券交易所
2026-07-13,000852,中证1000,000767,晋控电力,深圳证券交易所
2026-07-13,000852,中证1000,000778,新兴铸管,深圳证券交易所
2026-07-13,000852,中证1000,000791,甘肃能源,深圳证券交易所
